OBJECTID	PDIV_ID	Af_used_2017	Af_used_irr_2017	Acres_2017	Af_used_mun_2017	Af_used_stk_2017	long_nad83	lat_nad83	county
1	50793	0	0	0	0	0	-101.2655044	37.031871	SV
2	32041	11	11	17	0	0	-101.0449903	39.07935818	LG
3	21243	58.06672375	58.06672375	53	0	0	-97.5541838	38.00587845	HV
4	39766	0	0	0	0	0	-98.12599834	37.35158518	HP
5	30225	0	0	0	0	0	-101.9364756	38.84616764	WA
6	37508	0	0	0	0	0	-100.5059984	37.96090894	GY
7	30816	71.93471863	71.93471863	63	0	0	-99.54006149	38.47294431	RH
8	8792	0	0	0	0	0	-99.54006149	38.47294431	RH
9	25195	140	140	104	0	0	-101.5964885	37.93315456	HM
10	48026	0	0	0	0	0	-101.6061891	37.68938549	ST
11	36987	54	54	113	0	0	-100.6523928	37.3624143	SW
12	21325	320	320	390	0	0	-100.8163561	37.68784608	HS
13	5708	201.6565854	201.6565854	125	0	0	-100.807173	37.31915267	SW
14	11887	44.39452388	44.39452388	244	0	0	-101.304717	37.04683074	SV
15	19641	0	0	0	0	0	-100.7000044	38.07476311	FI
16	34555	121	121	244	0	0	-101.3798722	37.41463272	GT
17	24442	132	132	122	0	0	-100.6430715	37.36242936	SW
18	50050	0	0	0	0	0	-100.8593603	37.10202412	SW
19	10783	0	0	0	0	0	-101.3882582	37.04303446	SV
20	44856	0	0	0	0	0	-100.914412	37.99220745	FI
21	2189	0	0	0	0	0	-99.39619307	38.93641014	EL
22	7411	0	0	0	0	0	-100.8787798	38.13418979	FI
23	47079	165.0462942	165.0462942	246	0	0	-100.9195864	38.03245633	FI
24	39340	0	0	0	0	0	-101.3383013	37.47745265	GT
25	1345	97.39451467	97.39451467	158	0	0	-96.07709069	39.16935768	WB
26	10988	103.1726157	103.1726157	240	0	0	-101.8796021	38.83149935	WA
27	29870	179	179	124	0	0	-98.80262058	37.70473237	PR
28	13354	0	0	0	0	0	-98.53907786	37.1620147	BA
29	8581	0	0	0	0	0	-98.53832782	37.1618647	BA
30	12030	0	0	0	0	0	-100.8516736	37.40865348	HS
31	53941	174.6012748	174.6012748	250	0	0	-101.2984768	37.37712261	SV
32	25527	0	0	0	0	0	-100.9483893	38.19861972	FI
33	35972	36	36	60	0	0	-100.6743278	39.91530444	DC
34	41539	0	0	0	0	0	-98.77188041	38.34765336	BT
35	37404	1.244126917	0	0	0	0	-98.77032253	38.34584212	BT
36	48683	128.8012005	0	0	0	128.8012005	-101.2535375	37.4348725	GT
37	49244	142	142	147	0	0	-101.0582123	38.10046802	FI
38	35167	200	200	125	0	0	-101.2486277	37.30787407	SV
39	18428	0	0	0	0	0	-99.50987495	38.20766334	PN
40	40520	100.3219263	0	0	100.3219263	0	-98.76552813	38.36519162	BT
41	43382	0	0	0	0	0	-101.3618214	38.45927884	WH
42	31263	63	63	69	0	0	-100.6090113	38.51062101	LE
43	36655	0	0	0	0	0	-100.9109361	38.45299657	SC
44	12464	0	0	0	0	0	-101.4408685	38.48092995	WH
45	12246	109	109	160	0	0	-100.9095231	37.68117403	HS
46	54746	0	0	0	0	0	-100.8556632	38.01747072	FI
47	17750	0	0	0	0	0	-100.1834884	37.74034829	FO
48	29454	0	0	0	0	0	-101.3496776	37.63018922	GT
49	2378	0	0	0	0	0	-101.3779456	37.6743113	GT
50	37616	0	0	0	0	0	-100.8368261	37.97761871	FI
51	11914	65	65	160	0	0	-101.5828669	37.5343663	ST
52	27422	118	118	130	0	0	-97.63096133	37.804023	SG
53	22014	0	0	0	0	0	-100.2145399	37.70115443	FO
54	20833	0	0	0	0	0	-99.30440758	38.46690134	RH
55	33468	265	265	380	0	0	-99.13730436	37.90159811	ED
56	35021	0	0	0	0	0	-100.8940123	38.25153996	FI
57	45659	138	138	625	0	0	-101.083414	38.04762282	FI
58	33041	26	26	131	0	0	-100.9403886	37.4797756	HS
59	5388	0	0	0	0	0	-100.807696	38.03297215	FI
60	17852	0	0	0	0	0	-99.06559169	38.22726643	PN
61	34844	0	0	0	0	0	-100.8973514	37.95979375	FI
62	10128	0	0	0	0	0	-97.18546973	37.8458205	SG
63	43297	97.61087123	97.61087123	130	0	0	-98.33915829	37.87886522	RN
64	50104	0	0	0	0	0	-100.7338614	38.0210885	FI
65	22089	0	0	0	0	0	-98.32656113	38.55454012	EW
66	36019	0	0	0	0	0	-99.77730868	38.79367748	TR
67	22437	102	102	413	0	0	-101.2182174	37.93362017	KE
68	18947	8	8	20	0	0	-100.768262	38.38537029	SC
69	39689	0	0	0	0	0	-100.9479642	38.40586545	SC
70	1269	67	67	90	0	0	-101.5836571	37.32303245	MT
71	32554	47.87464209	47.87464209	75	0	0	-97.51239375	37.86152578	SG
72	20901	19	19	124	0	0	-101.8392443	37.77774284	HM
73	5502	0	0	0	0	0	-100.6552898	38.61114675	LE
74	875	42.36077225	42.36077225	60	0	0	-101.2443232	38.51354289	WH
75	43287	0	0	0	0	0	-97.9448398	37.97465387	RN
76	25459	0	0	0	0	0	-97.64155798	38.26442792	MP
77	22168	0	0	0	0	0	-97.05816361	39.3191951	CY
78	26536	26.33105315	26.33105315	195	0	0	-100.2965743	39.2508449	SD
79	42499	111	111	148	0	0	-100.9474305	39.39781409	TH
80	32986	0.142089483	0	0	0	0	-101.1608011	37.19989644	SV
81	34430	0	0	0	0	0	-100.9437443	37.64995412	HS
82	31783	0	0	0	0	0	-101.7435383	37.60851319	ST
83	48145	0	0	0	0	0	-97.77352153	39.6890807	RP
84	23476	85.930993	85.930993	225	0	0	-97.60882936	39.5800914	CD
85	3261	58	58	103	0	0	-100.3530973	39.54163365	SD
86	44167	0	0	0	0	0	-99.97140501	38.24605956	HG
87	35778	153.75	153.75	134	0	0	-98.59760141	37.82043354	PR
88	50199	190.8019309	0	0	190.8019309	0	-100.9120685	38.47607929	SC
89	39650	0	0	0	0	0	-101.4553747	37.69728582	GT
90	25485	163.8333333	163.8333333	200	0	0	-98.34667724	37.73625282	RN
91	41591	16.5	16.5	97	0	0	-95.94672722	39.12637877	SN
92	28985	482	482	625	0	0	-100.7031932	37.22811052	SW
93	20625	0	0	0	0	0	-100.9252247	37.45070235	HS
94	15732	0	0	0	0	0	-95.27668459	39.01203617	DG
