DT,GRACE
4/1/2002 6:00,4.70
5/1/2002 5:00,6.44
8/1/2002 5:00,-1.24
9/1/2002 5:00,-1.78
10/1/2002 5:00,-0.97
11/1/2002 6:00,0.81
12/1/2002 6:00,1.50
1/1/2003 6:00,1.22
2/1/2003 6:00,1.74
3/1/2003 6:00,3.89
4/1/2003 6:00,3.24
5/1/2003 5:00,3.75
7/1/2003 5:00,-0.48
8/1/2003 5:00,-3.25
9/1/2003 5:00,-2.36
10/1/2003 5:00,-2.63
11/1/2003 6:00,-2.42
12/1/2003 6:00,-1.26
1/1/2004 6:00,-0.30
2/1/2004 6:00,0.48
3/1/2004 6:00,2.19
4/1/2004 6:00,2.24
5/1/2004 5:00,0.48
6/1/2004 5:00,0.14
7/1/2004 5:00,0.69
8/1/2004 5:00,-0.64
9/1/2004 5:00,-2.42
10/1/2004 5:00,-1.40
11/1/2004 6:00,0.27
12/1/2004 6:00,1.59
1/1/2005 6:00,4.07
2/1/2005 6:00,5.07
3/1/2005 6:00,4.11
4/1/2005 6:00,5.39
5/1/2005 5:00,2.54
6/1/2005 5:00,2.14
7/1/2005 5:00,-1.30
8/1/2005 5:00,-2.24
9/1/2005 5:00,-4.16
10/1/2005 5:00,-4.23
11/1/2005 6:00,-4.73
12/1/2005 6:00,-4.53
1/1/2006 6:00,-4.68
2/1/2006 6:00,-5.02
3/1/2006 6:00,-5.03
4/1/2006 6:00,-3.31
5/1/2006 5:00,-3.99
6/1/2006 5:00,-5.47
7/1/2006 5:00,-7.84
8/1/2006 5:00,-8.42
9/1/2006 5:00,-7.97
10/1/2006 5:00,-7.57
11/1/2006 6:00,-7.57
12/1/2006 6:00,-4.06
1/1/2007 6:00,-0.74
2/1/2007 6:00,0.07
3/1/2007 6:00,0.33
4/1/2007 5:00,3.17
5/1/2007 5:00,4.08
6/1/2007 5:00,4.12
7/1/2007 5:00,3.32
8/1/2007 5:00,-1.17
9/1/2007 5:00,-2.49
10/1/2007 5:00,-1.35
11/1/2007 5:00,-2.16
12/1/2007 6:00,0.51
1/1/2008 6:00,1.28
2/1/2008 6:00,1.44
3/1/2008 6:00,3.25
4/1/2008 5:00,2.61
5/1/2008 5:00,3.57
6/1/2008 5:00,3.59
7/1/2008 5:00,1.53
8/1/2008 5:00,0.02
9/1/2008 5:00,0.67
10/1/2008 5:00,1.53
11/1/2008 5:00,2.41
12/1/2008 6:00,2.25
1/1/2009 6:00,3.72
2/1/2009 6:00,2.59
3/1/2009 6:00,2.62
4/1/2009 5:00,4.16
5/1/2009 5:00,5.46
6/1/2009 5:00,4.61
7/1/2009 5:00,1.43
8/1/2009 5:00,0.25
9/1/2009 5:00,0.04
10/1/2009 5:00,1.81
11/1/2009 5:00,2.38
12/1/2009 6:00,4.59
1/1/2010 6:00,4.53
2/1/2010 6:00,5.92
3/1/2010 6:00,6.49
4/1/2010 5:00,6.88
5/1/2010 5:00,6.88
6/1/2010 5:00,4.98
7/1/2010 5:00,3.04
8/1/2010 5:00,1.67
9/1/2010 5:00,-0.12
10/1/2010 5:00,-2.02
11/1/2010 5:00,-0.79
12/1/2010 6:00,-0.47
2/1/2011 6:00,0.13
3/1/2011 6:00,-0.48
4/1/2011 5:00,0.32
5/1/2011 5:00,-0.45
7/1/2011 5:00,-4.22
8/1/2011 5:00,-6.44
9/1/2011 5:00,-7.11
10/1/2011 5:00,-8.47
11/1/2011 5:00,-8.28
1/1/2012 6:00,-3.79
2/1/2012 6:00,-4.41
3/1/2012 6:00,-2.93
4/1/2012 5:00,-2.96
6/1/2012 5:00,-6.56
7/1/2012 5:00,-12.55
8/1/2012 5:00,-13.98
9/1/2012 5:00,-15.62
11/1/2012 5:00,-15.51
12/1/2012 6:00,-16.02
1/1/2013 6:00,-14.93
2/1/2013 6:00,-13.85
4/1/2013 5:00,-10.92
5/1/2013 5:00,-10.74
6/1/2013 5:00,-10.75
7/1/2013 5:00,-14.75
10/1/2013 5:00,-13.82
11/1/2013 5:00,-14.47
12/1/2013 6:00,-12.68
1/1/2014 6:00,-12.59
3/1/2014 6:00,-13.34
4/1/2014 5:00,-13.57
5/1/2014 5:00,-12.89
6/1/2014 5:00,-12.23
8/1/2014 5:00,-14.34
9/1/2014 5:00,-14.73
10/1/2014 5:00,-15.42
11/1/2014 5:00,-14.46
1/1/2015 6:00,-13.50
2/1/2015 6:00,-12.27
3/1/2015 6:00,-12.21
4/1/2015 5:00,-12.45
7/1/2015 5:00,-7.15
8/1/2015 5:00,-8.49
9/1/2015 5:00,-12.56
12/1/2015 6:00,-2.76
1/1/2016 6:00,-2.22
2/1/2016 6:00,-1.19
3/1/2016 6:00,-2.76
5/1/2016 5:00,-0.75
6/1/2016 5:00,-1.72
7/1/2016 5:00,-6.23
8/1/2016 5:00,-7.59
11/1/2016 5:00,-8.26
12/1/2016 6:00,-7.45
1/1/2017 6:00,-6.26
3/1/2017 6:00,-5.69
4/1/2017 5:00,-1.27
5/1/2017 5:00,-0.29
6/1/2017 5:00,-2.29
6/1/2018 5:00,-6.18
7/1/2018 5:00,-9.15
10/1/2018 5:00,-3.98
11/1/2018 5:00,-3.78
12/1/2018 6:00,-3.55
1/1/2019 6:00,-0.78
2/1/2019 6:00,-0.81
3/1/2019 6:00,-0.23
4/1/2019 5:00,-0.01
5/1/2019 5:00,3.51
6/1/2019 5:00,5.23
7/1/2019 5:00,1.27
8/1/2019 5:00,-1.56
9/1/2019 5:00,-3.08
,
,
,
,
,
