Test Case,N_Estimator,MF,F_IMP,Train_Score,Test_Score,MAE,RMSE
T1,100,1,0.29 0.13 0.11 0.16 0.17 0.14,0.97,0.59,22.27,39.07
T2,100,1,0.3 0.13 0.1 0.16 0.17 0.14,0.97,0.57,27.9,46.23
T3,100,1,0.29 0.14 0.1 0.17 0.16 0.13,0.97,0.6,22.15,37.78
T1,100,2,0.32 0.13 0.08 0.14 0.18 0.15,0.98,0.77,16.55,29.38
T2,100,2,0.32 0.13 0.08 0.15 0.18 0.15,0.98,0.65,25.58,41.61
T3,100,2,0.31 0.14 0.08 0.16 0.17 0.14,0.97,0.67,19.14,34.25
T1,100,3,0.33 0.13 0.07 0.14 0.18 0.15,0.98,0.83,13.44,25.29
T2,100,3,0.32 0.14 0.06 0.15 0.18 0.15,0.98,0.63,26.09,42.55
T3,100,3,0.32 0.14 0.07 0.16 0.17 0.14,0.98,0.68,18.03,33.69
T1,100,4,0.32 0.13 0.07 0.14 0.19 0.16,0.98,0.84,12.22,24.39
T2,100,4,0.32 0.14 0.06 0.15 0.18 0.15,0.98,0.62,26.3,43.23
T3,100,4,0.32 0.14 0.07 0.17 0.16 0.13,0.98,0.67,18.07,34.62
T1,100,5,0.32 0.12 0.07 0.13 0.2 0.16,0.98,0.84,11.66,24.3
T2,100,5,0.32 0.14 0.06 0.15 0.18 0.15,0.98,0.61,25.85,43.81
T3,100,5,0.31 0.14 0.07 0.17 0.17 0.14,0.98,0.66,17.7,34.95
T1,100,6,0.33 0.12 0.06 0.13 0.2 0.16,0.98,0.84,11.06,24.11
T2,100,6,0.32 0.14 0.06 0.16 0.18 0.15,0.98,0.58,25.3,45.37
T3,100,6,0.31 0.15 0.08 0.17 0.16 0.14,0.98,0.63,17.81,36.29
T1,200,1,0.29 0.14 0.11 0.16 0.17 0.14,0.97,0.59,22.33,38.94
T2,200,1,0.29 0.14 0.1 0.16 0.17 0.14,0.97,0.57,27.82,45.79
T3,200,1,0.29 0.14 0.1 0.17 0.16 0.13,0.97,0.61,22,37.65
T1,200,2,0.32 0.13 0.08 0.14 0.18 0.15,0.98,0.77,16.46,29.18
T2,200,2,0.32 0.14 0.07 0.15 0.18 0.15,0.98,0.65,25.72,41.54
T3,200,2,0.31 0.14 0.08 0.16 0.17 0.14,0.97,0.67,19.19,34.43
T1,200,3,0.33 0.13 0.07 0.13 0.19 0.15,0.98,0.83,13.32,24.96
T2,200,3,0.32 0.13 0.06 0.14 0.18 0.15,0.98,0.65,25.75,41.78
T3,200,3,0.32 0.14 0.07 0.16 0.17 0.14,0.98,0.68,18.06,33.72
T1,200,4,0.33 0.13 0.07 0.13 0.19 0.16,0.98,0.84,12.05,24.11
T2,200,4,0.32 0.13 0.06 0.15 0.18 0.15,0.98,0.63,25.95,42.78
