AGRI_KS,ET_KS,GRACE_Trend_KS,P_KS,SW_KS,URBAN_FLT_KS
0.75923747,2577.0,-197.0005,556.36,0.47512618,0.06327167
0.44452614,2632.0,-135.02675,466.72,0.23128974,0.14396791
0.7573991,2453.0,-397.63855,366.82,0.3010782,0.34605142
0.66450864,1918.0,-317.15866,305.91,1.1649337e-05,0.09522749
0.67726034,2425.0,-261.77164,422.72998,0.0029037578,0.070507534
0.94003147,1131.0,-307.00412,197.91,0.40630618,0.19600737
0.5976145,2470.0,-315.14072,507.66,0.299565,0.1460972
0.25668195,2559.0,-299.7838,524.44,0.121292785,0.044376932
0.8412921,2674.0,-122.624275,405.36,0.003763684,0.11552978
0.5427207,2635.0,-368.58972,591.666,0.08220879,0.1739451
0.45851377,2325.0,-458.6178,370.11002,0.39050093,0.2332383
0.39009672,1543.0,-145.61694,364.83,0.18624407,0.06840378
0.11868272,4561.0,-368.102,681.72,0.3653333,0.10507812
0.7149182,1844.0,-340.2625,197.81,0.00015075662,0.16357383
0.69796675,1281.0,-278.27295,385.53,0.00022857994,0.115657575
0.6098401,1078.0,-243.7851,277.42,0.0,0.08862667
0.60446465,1851.0,-214.17244,453.33002,0.045747172,0.1825415
0.38490608,2251.0,-172.57062,399.62,0.0011264815,0.029574959
0.58600205,1754.0,-283.16107,543.31,0.5289165,0.31235287
0.46950647,3856.0,-375.8756,606.12,0.50020903,0.15852416
0.6246403,862.0,-283.8272,221.91,0.0,0.07407546
0.35676715,3313.0,-341.43176,632.84,0.3568828,0.17469126
0.4698284,2205.0,-110.0946,471.54,0.19371195,0.3027825
0.48117515,2012.0,-263.40884,490.01,0.031551052,0.09586167
0.4001342,1575.0,-214.17244,343.65,0.062685944,0.07910232
0.6814487,2471.0,-353.30487,441.96,0.13418251,0.15671138
0.41778183,3240.0,-317.73572,332.6,0.0030855394,0.049853493
0.7228465,2295.0,-167.12189,521.33997,0.0,0.0905349
0.36779004,4123.0,-387.12906,706.161,0.01100327,0.21146409
0.8608257,3213.0,-320.76462,294.21002,0.020946827,0.14222065
0.37688923,3934.0,-299.64645,522.29,0.62565285,0.09198549
0.31601143,2947.0,-197.17755,406.82,0.42439607,0.10688364
0.69405323,1507.0,-252.96307,313.76,0.0,0.24693146
0.6046616,2944.0,-290.66278,669.08,0.3571524,0.35713536
0.4039009,924.0,-332.7198,319.25,0.0,0.03933344
0.683341,2934.0,-299.7838,452.18,0.09431446,0.11271467
0.38435668,902.0,-294.11075,385.13,0.0017831145,0.03391634
0.52238166,650.0,-474.36856,211.79001,0.0,0.159855
0.7081734,3084.0,-293.1137,653.81,0.4342518,0.28462464
0.117657974,1574.0,-397.07172,411.64,0.001252611,0.09417377
0.839361,2642.0,-335.27618,379.68,1.737877e-05,0.10284345
0.8201875,2824.0,-320.76462,367.8,0.116277985,0.087811984
0.7140447,952.0,-380.40277,212.42,0.00047118432,0.11544174
0.876861,618.0,-312.72247,128.4,0.0048894584,0.086074844
0.6664934,2026.0,-309.92313,368.57,0.083157636,0.13153009
0.6640651,1434.0,-144.0245,444.51,0.0,0.061831832
0.41507185,1841.0,-332.0178,314.24,0.0,0.058472183
0.3742027,2066.0,-115.0085,450.64,0.09752383,0.103346504
0.33382985,1470.0,-285.53815,429.18,0.32162848,0.10927849
0.70082307,2494.0,-419.79913,299.9,0.0,0.063785106
0.5982891,3025.0,-315.14072,573.11,0.09274543,0.120631784
0.7237561,2511.0,-290.66278,608.96,0.36422718,0.15289916
0.5987125,1747.0,-281.87766,611.95,0.04098646,0.13185912
0.068786874,2227.0,-368.68777,311.48,0.3065914,0.0062012454
0.6767987,922.0,-425.24097,331.46,0.0,0.06147841
0.36699066,353.0,-312.72247,215.89,0.17961234,0.079368435
0.68231905,2210.0,-266.20975,414.41998,0.06386518,0.14556903
0.80500066,1873.0,-407.03812,300.23,0.04568787,0.037946638
0.53089285,2288.0,-283.16107,403.72,0.9604542,0.6807524
0.67094415,2809.0,-313.5496,554.18,0.0014319934,0.10428057
0.39360914,2595.0,-390.47763,603.033,0.44850305,0.12281673
0.5107258,2788.0,-397.07172,451.78,0.032157347,0.03557367
0.5246494,2653.0,-364.69986,446.55,0.027536305,0.07240131
0.5193376,2191.0,-353.30487,344.99,0.2158073,0.12612875
0.6905666,1345.0,-407.03812,308.63,0.030457044,0.09515479
0.09921019,2369.0,-606.4602,380.61,0.3028351,0.0047708573
0.40045744,1480.0,-299.21625,308.72,0.0,0.022380976
0.6124357,3287.0,-387.13025,585.64,0.48706427,0.08944113
0.42425302,1413.0,-300.9665,266.69998,0.0,0.050736185
0.84701437,535.0,-293.0232,276.48,1.3434611e-06,0.02008709
0.633921,1638.0,-281.87766,459.87,0.08869714,0.24014907
0.051324032,1937.0,-338.01367,441.26,0.00027644954,0.05710821
0.295104,3625.0,-135.02675,524.31,0.32297516,0.12488392
0.4584806,1275.0,-230.03015,283.77,0.21750495,0.09738833
0.8844257,1577.0,-577.86804,206.5,0.2645485,0.12741412
0.6929446,1786.0,-327.63904,415.38998,0.29118085,0.20908955
0.40053254,634.0,-269.3217,225.31,0.0,0.019845363
0.5414283,3365.0,-338.01367,528.1,0.3687597,0.23305565
0.4327912,1702.0,-160.42273,378.13998,0.49721405,0.16902879
0.6179703,909.0,-300.88504,166.38,0.4427252,0.21124856
0.81595004,1887.0,-323.7525,234.05,0.06348535,0.08206867
0.4578095,2704.0,-287.94055,459.0,0.34147966,0.11975882
0.882507,2203.0,-357.00702,570.04,0.21159571,0.062443025
0.55275005,1634.0,-380.40277,162.45,0.005572823,0.12265115
0.77025276,2922.0,-261.50198,763.38,0.5971546,0.20205732
0.6057039,2083.0,-250.47935,438.21002,0.06300529,0.22829008
0.60042375,516.0,-294.11075,215.82,0.005000057,0.06748611
0.26873422,1338.0,-503.74908,287.01,0.14332688,0.18307061
0.6394039,1746.0,-327.63904,390.04,0.2840493,0.17031506
0.57804114,3930.0,-108.96084,447.96,0.16235007,0.344708
0.63461125,3883.0,-236.23709,538.51,0.28531623,0.42934787
0.30412447,3072.0,-306.79654,487.85,0.24490075,0.18056737
0.8183686,1700.0,-167.12189,563.69,0.0,0.04318276
0.8367772,2323.0,-230.03015,244.32,0.13867702,0.120877855
0.69727093,1113.0,-467.36386,332.76,0.20730522,0.18483815
0.8180078,2757.0,-197.0005,554.63,0.39933416,0.08596862
0.16004136,3569.0,-299.64645,532.64,0.68088365,0.12784937
0.33311763,2581.0,-310.64453,450.92,0.29652986,0.07701029
0.58374816,3606.0,-92.242584,518.42,0.10708329,0.14884958
0.4442561,721.0,-440.299,271.48,0.10585567,0.054358248
0.904661,3050.0,-348.45395,582.613,0.013182391,0.09657453
0.81022984,1625.0,-421.4361,224.95999,0.0105877295,0.18112798
0.6306194,864.0,-449.17493,184.77,0.0032832096,0.09973219
0.3280903,1772.0,-282.79755,357.25,0.0,0.14829917
0.7172936,1608.0,-227.80148,279.51,0.0035351946,0.14036223
0.59663665,1057.0,-243.7851,372.81,6.96167e-08,0.030223602
0.54490083,2118.0,-515.8428,321.22998,0.360386,0.22856565
0.2887503,2024.0,-401.34882,528.26,0.002887307,0.042826883
0.3512643,1550.0,-378.79828,425.27402,0.0,0.06745504
0.34870142,1909.0,-374.48132,406.001,0.0,0.14516354
0.56704503,3079.0,-357.00702,442.97003,0.29136083,0.14191873
0.5037447,1040.0,-269.3217,270.44,0.0,0.047758464
0.6086558,3071.0,-203.59785,573.18,0.40551317,0.24946323
0.5114778,2071.0,-250.47935,405.86,0.113917336,0.24967101
0.6771699,2703.0,-197.0005,549.64,0.3447084,0.04640422
0.5717456,1852.0,-283.8272,400.75,0.0,0.06244155
0.84056836,2241.0,-293.1137,650.33,0.37159574,0.26258627
0.4016239,2739.0,-201.52792,450.0,0.37307513,0.11874652
0.3475219,776.0,-296.68475,274.04,0.35343382,0.06430272
0.4966252,3805.0,-375.8756,545.56,0.5817425,0.09186419
0.7011178,2383.0,-118.40811,392.55002,0.10603765,0.16213638
0.23482908,3678.0,-368.102,712.87,0.6774888,0.1795116
