ET_KS,URBAN_KS,URBAN_FLT_KS,GRACE_KS,GW_KS,AGRI_KS,P_KS,SW_KS,ET_FLT_KS,GRACE_AVG_KS,YEAR
265.9,0.0,0.05316309,-13.387167,0.0,0.23687457,393.86002,0.17356941,265.9,-12.861089,2012
275.4,0.0,0.055755787,-13.387167,0.0,0.26414368,409.96,0.18470381,275.4,-12.861089,2012
292.3,0.0,0.054925993,-13.387167,0.0,0.29076394,422.59,0.1905222,292.3,-12.861089,2012
280.9,0.0,0.050336704,-13.387167,1.0157561,0.3130434,423.57,0.19079603,280.9,-12.861089,2012
309.1,0.0,0.042932693,-13.387167,0.3515818,0.3285677,424.13,0.18592142,309.1,-12.861089,2012
269.2,0.0,0.034275927,-13.776094,0.0,0.3370196,416.27,0.17682773,269.2,-12.861089,2012
298.7,0.0,0.025798934,-13.776094,0.0,0.33961216,409.46,0.16478807,298.7,-12.861089,2012
255.8,0.0,0.01840084,-13.776094,0.0,0.33765364,420.46,0.15117969,255.8,-12.861089,2012
271.2,0.0,0.012465702,-13.776094,0.0,0.33141994,427.72998,0.13725282,271.2,-12.861089,2012
326.2,0.0,0.00802872,-13.776094,0.0,0.32019898,428.3,0.12395755,326.2,-12.861089,2012
258.0,0.0,0.059080068,-13.387167,0.0,0.20251143,367.13,0.11935558,258.0,-12.861089,2012
260.0,0.0,0.058865674,-13.387167,1.4746231,0.22118156,369.86,0.14359988,260.0,-12.861089,2012
285.9,0.0,0.062340207,-13.387167,0.0,0.24108498,373.99,0.16745114,285.9,-12.861089,2012
247.9,0.0,0.06920344,-13.387167,0.0,0.2651839,375.97998,0.18923822,247.9,-12.861089,2012
308.2,0.0,0.077066116,-13.387167,0.0,0.2948491,379.58,0.20730902,308.2,-12.861089,2012
331.3,0.0,0.08262798,-13.387167,0.0,0.3284711,393.11002,0.22028957,331.3,-12.861089,2012
265.5,0.0,0.08330129,-13.387167,0.0,0.36171192,406.38,0.22731726,265.5,-12.861089,2012
284.7,0.0,0.0783022,-13.387167,0.0,0.38940933,410.56,0.22818886,284.7,-12.861089,2012
285.4,0.0,0.0686735,-13.387167,0.17765991,0.40801463,405.38,0.2233833,285.4,-12.861089,2012
264.1,0.0,0.056468315,-13.776094,0.0,0.41697666,404.23,0.21395054,264.1,-12.861089,2012
293.2,0.0,0.043758925,-13.776094,0.0,0.4182637,405.69,0.20129554,293.2,-12.861089,2012
292.5,0.0,0.032042608,-13.776094,0.0,0.41447496,416.09,0.18691175,292.5,-12.861089,2012
290.9,0.0,0.022177702,-13.776094,0.0,0.40703854,417.49002,0.17212899,290.9,-12.861089,2012
300.6,0.0,0.014516979,-13.776094,0.0,0.39577657,415.98,0.15792936,300.6,-12.861089,2012
289.3,0.0,0.009134898,-13.776094,0.0,0.37991035,420.17,0.14486086,289.3,-12.861089,2012
299.4,0.0,0.079020426,-13.387167,10.425042,0.20584752,389.74,0.09471485,299.4,-12.861089,2012
284.7,0.0,0.076791964,-13.387167,9.455371,0.22990045,412.4,0.11970071,284.7,-12.861089,2012
293.6,0.0,0.074296944,-13.387167,0.0,0.2508847,417.05,0.14694291,293.6,-12.861089,2012
289.4,0.0,0.07516266,-13.387167,0.0,0.2700875,394.75998,0.17516871,289.4,-12.861089,2012
271.7,0.0,0.08161654,-13.387167,0.0,0.2909669,386.03,0.20272747,271.7,-12.861089,2012
267.9,0.0,0.09312209,-13.387167,0.0,0.31742653,375.6,0.22777759,267.9,-12.861089,2012
271.7,0.0,0.106379,-13.387167,0.0,0.3513863,382.81,0.24853562,271.7,-12.861089,2012
278.9,0.0,0.11678277,-13.387167,0.0,0.3909735,389.77,0.2635539,278.9,-12.861089,2012
292.6,0.0,0.12050947,-13.387167,0.0,0.4307434,394.73,0.271963,292.6,-12.861089,2012
310.7,0.0,0.11602358,-13.387167,0.0,0.46402416,389.4,0.27361757,310.7,-12.861089,2012
251.9,0.0,0.10428122,-13.387167,0.0,0.48606998,379.56,0.26910365,251.9,-12.861089,2012
263.3,0.0,0.0878279,-13.776094,0.0,0.4960172,382.87,0.25960276,263.3,-12.861089,2012
259.4,0.0,0.06955744,-13.776094,0.0,0.4965254,392.56,0.24664673,259.4,-12.861089,2012
211.6,0.0,0.051859275,-13.776094,0.0,0.49148044,409.58,0.2318251,211.6,-12.861089,2012
359.9,0.0,0.036379173,-13.776094,0.0,0.4835499,403.02002,0.21651489,359.9,-12.861089,2012
264.3,0.0,0.024041373,-13.776094,0.0,0.47324535,395.61002,0.20169024,264.3,-12.861089,2012
296.3,0.0,0.015248449,-13.776094,0.0,0.45978233,410.45,0.18784186,296.3,-12.861089,2012
302.9,0.0,0.010012641,-13.776094,0.0,0.44254935,435.06,0.17500597,302.9,-12.861089,2012
321.2,0.0,0.008085513,-13.776094,1.1143112,0.42181513,487.09,0.16287844,321.2,-12.861089,2012
377.5,0.0,0.00904032,-13.776094,0.094541594,0.39808017,497.55002,0.15097606,377.5,-12.861089,2012
319.6,0.0,0.01224861,-13.776094,0.0,0.37095827,524.68,0.13880509,319.6,-12.861089,2012
243.7,0.0,0.09355447,-13.387167,0.0,0.22559692,390.46,0.09259864,243.7,-12.861089,2012
240.8,3.0,0.09325626,-13.387167,0.0,0.25195405,414.43,0.11865223,0.0,-12.861089,2012
318.1,0.0,0.08970494,-13.387167,0.0,0.2755275,441.38,0.14796819,318.1,-12.861089,2012
263.3,0.0,0.08707206,-13.387167,0.0,0.29527068,435.88,0.17948511,263.3,-12.861089,2012
296.3,0.0,0.08977858,-13.387167,0.0,0.31289685,408.86002,0.21174698,296.3,-12.861089,2012
244.0,0.0,0.100391366,-13.387167,0.0,0.33269197,398.45,0.24293533,244.0,-12.861089,2012
