ET_KS,URBAN_KS,URBAN_FLT_KS,GRACE_KS,GW_KS,AGRI_KS,P_KS,SW_KS,ET_FLT_KS,GRACE_AVG_KS,YEAR
163.3,0.0,0.05316309,1.0,0.0,0.23687457,261.96,0.17356941,163.3,1.0,2012
168.2,0.0,0.055755787,1.0,0.0,0.26414368,272.28,0.18470381,168.2,1.0,2012
187.2,0.0,0.054925993,1.0,0.0,0.29076394,278.56,0.1905222,187.2,1.0,2012
160.4,0.0,0.050336704,1.0,1.0157561,0.3130434,272.28,0.19079603,160.4,1.0,2012
171.8,0.0,0.042932693,1.0,0.3515818,0.3285677,251.37,0.18592142,171.8,1.0,2012
167.6,0.0,0.034275927,1.0,0.0,0.3370196,238.32,0.17682773,167.6,1.0,2012
181.5,0.0,0.025798934,1.0,0.0,0.33961216,224.97,0.16478807,181.5,1.0,2012
139.5,0.0,0.01840084,1.0,0.0,0.33765364,216.84,0.15117969,139.5,1.0,2012
152.9,0.0,0.012465702,1.0,0.0,0.33141994,215.48,0.13725282,152.9,1.0,2012
180.9,0.0,0.00802872,1.0,0.0,0.32019898,211.98,0.12395755,180.9,1.0,2012
149.2,0.0,0.059080068,1.0,0.0,0.20251143,247.40999,0.11935558,149.2,1.0,2012
166.3,0.0,0.058865674,1.0,1.4746231,0.22118156,252.88,0.14359988,166.3,1.0,2012
171.0,0.0,0.062340207,1.0,0.0,0.24108498,252.64,0.16745114,171.0,1.0,2012
150.6,0.0,0.06920344,1.0,0.0,0.2651839,241.15,0.18923822,150.6,1.0,2012
168.1,0.0,0.077066116,1.0,0.0,0.2948491,243.53,0.20730902,168.1,1.0,2012
199.3,0.0,0.08262798,1.0,0.0,0.3284711,251.97,0.22028957,199.3,1.0,2012
147.8,0.0,0.08330129,1.0,0.0,0.36171192,260.08002,0.22731726,147.8,1.0,2012
181.3,0.0,0.0783022,1.0,0.0,0.38940933,259.03,0.22818886,181.3,1.0,2012
146.0,0.0,0.0686735,1.0,0.17765991,0.40801463,230.28,0.2233833,146.0,1.0,2012
151.6,0.0,0.056468315,1.0,0.0,0.41697666,218.22,0.21395054,151.6,1.0,2012
150.2,0.0,0.043758925,1.0,0.0,0.4182637,210.07,0.20129554,150.2,1.0,2012
151.1,0.0,0.032042608,1.0,0.0,0.41447496,207.70001,0.18691175,151.1,1.0,2012
176.3,0.0,0.022177702,1.0,0.0,0.40703854,206.41,0.17212899,176.3,1.0,2012
164.9,0.0,0.014516979,1.0,0.0,0.39577657,204.85,0.15792936,164.9,1.0,2012
136.1,0.0,0.009134898,1.0,0.0,0.37991035,210.83,0.14486086,136.1,1.0,2012
146.0,0.0,0.079020426,1.0,10.425042,0.20584752,249.53,0.09471485,146.0,1.0,2012
161.7,0.0,0.076791964,1.0,9.455371,0.22990045,277.94,0.11970071,161.7,1.0,2012
161.0,0.0,0.074296944,1.0,0.0,0.2508847,284.98,0.14694291,161.0,1.0,2012
169.4,0.0,0.07516266,1.0,0.0,0.2700875,265.62,0.17516871,169.4,1.0,2012
151.6,0.0,0.08161654,1.0,0.0,0.2909669,255.83,0.20272747,151.6,1.0,2012
137.8,0.0,0.09312209,1.0,0.0,0.31742653,237.31,0.22777759,137.8,1.0,2012
148.3,0.0,0.106379,1.0,0.0,0.3513863,243.04,0.24853562,148.3,1.0,2012
152.8,0.0,0.11678277,1.0,0.0,0.3909735,246.94,0.2635539,152.8,1.0,2012
166.6,0.0,0.12050947,1.0,0.0,0.4307434,244.32,0.271963,166.6,1.0,2012
179.0,0.0,0.11602358,1.0,0.0,0.46402416,234.73,0.27361757,179.0,1.0,2012
133.0,0.0,0.10428122,1.0,0.0,0.48606998,208.63,0.26910365,133.0,1.0,2012
160.1,0.0,0.0878279,1.0,0.0,0.4960172,200.86,0.25960276,160.1,1.0,2012
120.8,0.0,0.06955744,1.0,0.0,0.4965254,199.70999,0.24664673,120.8,1.0,2012
112.8,0.0,0.051859275,1.0,0.0,0.49148044,201.45,0.2318251,112.8,1.0,2012
243.5,0.0,0.036379173,1.0,0.0,0.4835499,196.32,0.21651489,243.5,1.0,2012
136.6,0.0,0.024041373,1.0,0.0,0.47324535,190.9,0.20169024,136.6,1.0,2012
155.8,0.0,0.015248449,1.0,0.0,0.45978233,200.48,0.18784186,155.8,1.0,2012
164.4,0.0,0.010012641,1.0,0.0,0.44254935,220.43001,0.17500597,164.4,1.0,2012
164.2,0.0,0.008085513,1.0,1.1143112,0.42181513,243.16,0.16287844,164.2,1.0,2012
238.2,0.0,0.00904032,1.0,0.094541594,0.39808017,244.27,0.15097606,238.2,1.0,2012
167.5,0.0,0.01224861,1.0,0.0,0.37095827,275.83,0.13880509,167.5,1.0,2012
135.9,0.0,0.09355447,1.0,0.0,0.22559692,240.21999,0.09259864,135.9,1.0,2012
131.3,3.0,0.09325626,1.0,0.0,0.25195405,273.97,0.11865223,0.0,1.0,2012
211.9,0.0,0.08970494,1.0,0.0,0.2755275,300.06,0.14796819,211.9,1.0,2012
149.3,0.0,0.08707206,1.0,0.0,0.29527068,298.74,0.17948511,149.3,1.0,2012
158.5,0.0,0.08977858,1.0,0.0,0.31289685,269.66,0.21174698,158.5,1.0,2012
129.6,0.0,0.100391366,1.0,0.0,0.33269197,261.82,0.24293533,129.6,1.0,2012
138.3,0.0,0.11806194,1.0,3.2551148,0.3594846,249.46,0.2710817,138.3,1.0,2012
170.9,0.0,0.13849461,1.0,0.0,0.39576685,248.91,0.29433334,170.9,1.0,2012
166.1,3.0,0.15561952,1.0,0.0,0.43951613,248.42,0.31123868,0.0,1.0,2012
154.5,0.0,0.16410485,1.0,0.0,0.48439214,241.96,0.32098657,154.5,1.0,2012
99.8,0.0,0.1613377,1.0,0.0,0.5224495,227.09,0.323537,99.8,1.0,2012
146.9,0.0,0.14793451,1.0,1.373438,0.54788625,201.15,0.3196047,146.9,1.0,2012
212.3,0.0,0.126867,1.0,0.0,0.55947983,196.14,0.31049442,212.3,1.0,2012
127.5,0.0,0.10200054,1.0,0.0,0.56036335,195.64,0.2978291,127.5,1.0,2012
162.5,0.0,0.07691349,1.0,0.0,0.55544716,202.53,0.28323743,162.5,1.0,2012
