# GMD 4 Stats, 5 km spatial resolution
# Random Forests (max_features=3, max_depth=16, min_samples_leaf=8, n_estimators=500, random_state=0)
# FIMP features: ['AGRI', 'Crop', 'ET', 'P', 'SW', 'URBAN']
# GMD 4 test data consist of annual data from start year to end year.
Start Year,End Year,Train R2,Test R2,FIMP
2012,2021,0.83,0.7,0.4 0.05 0.07 0.08 0.17 0.24
2021,2021,0.88,0.84,0.41 0.05 0.04 0.07 0.16 0.26
2014,2014,0.87,0.86,0.42 0.05 0.05 0.07 0.16 0.25
2011,2011,0.87,0.8,0.41 0.05 0.05 0.08 0.16 0.25
2011,2012,0.87,0.76,0.41 0.05 0.05 0.07 0.16 0.25
2011,2021,0.81,0.67,0.38 0.05 0.08 0.1 0.16 0.24
2017,2021,0.88,0.74,0.41 0.05 0.05 0.07 0.17 0.26
2008,2021,0.78,0.6,0.39 0.05 0.1 0.08 0.16 0.22
2003,2021,0.65,-1.07,0.27 0.03 0.41 0.08 0.09 0.13
2005,2021,0.71,0.4,0.37 0.04 0.15 0.1 0.14 0.19
