AGRI,Crop,ET,GMD,GW,P,SW,URBAN,YEAR
0.77366024,1.0,149.3,4,69.42945,263.271,0.0029120508,0.052204065,2003
0.7688201,1.15,180.7,4,65.76234,211.828,0.0006899457,0.12845044,2002
0.70952004,1.0,224.2,4,25.56097,267.029,0.0024047475,0.036655962,2003
0.5463979,1.2,280.9,4,71.388855,355.28198,0.0,0.09051186,2003
0.77230567,1.15,222.3,4,70.08545,389.326,0.0002482428,0.068929784,2004
0.49925438,1.0,193.9,4,5.0565524,336.761,0.07475071,0.10637192,2003
0.5483245,1.0,184.4,4,44.56656,287.58002,0.027366225,0.06910996,2003
0.60151184,1.15,87.5,4,33.81636,290.279,0.0,0.042929154,2002
0.41373295,1.0,168.1,4,22.254028,317.37198,0.0,0.032037504,2003
0.6265458,1.0,189.9,4,15.416218,364.719,0.0,0.083489336,2004
0.7927563,1.15,261.7,4,59.04674,437.38702,0.0045215623,0.11660832,2004
0.7140164,1.15,272.2,4,127.494934,380.422,0.00052297214,0.03390725,2004
0.5557313,1.0,203.4,4,52.519337,345.128,0.051511165,0.12227482,2003
0.34777963,1.15,132.0,4,11.3929205,272.641,0.0,0.025632814,2003
0.550263,1.0,94.7,4,0.0,206.373,0.060135387,0.052116822,2002
0.81415164,1.2,166.0,4,211.55,308.242,0.00023903568,0.12814753,2003
0.7807781,1.15,139.5,4,81.77165,279.428,0.0004594223,0.062274497,2003
0.55405706,1.0,78.6,4,4.8385973,226.77501,1.48294175e-05,0.039948452,2002
0.42043525,1.0,190.7,4,0.0,416.433,3.961461e-06,0.063140206,2003
0.47438943,1.0,92.0,4,31.387314,207.959,0.09170074,0.09035679,2002
0.63923776,1.0,179.6,4,6.538645,459.68,0.00023903571,0.09969228,2004
0.47614142,1.0,75.4,4,11.578033,197.195,0.0,0.073155634,2002
0.5096208,1.0,80.5,4,0.0,264.723,0.0,0.09470853,2002
0.55858624,1.15,153.7,4,18.587574,253.442,0.03272001,0.05368848,2002
0.4833878,1.0,83.5,4,2.3758326,193.94,0.0,0.018362192,2002
0.6712953,1.2,93.8,4,59.980263,196.647,0.0,0.010539504,2002
0.6532055,1.2,204.6,4,39.277355,334.698,0.0,0.06896016,2003
0.51058537,1.0,155.7,4,34.105675,173.431,0.0,0.014555067,2002
0.5463979,1.2,182.9,4,74.37263,235.489,0.0,0.09051186,2002
0.42492136,1.0,235.7,4,0.0,452.181,6.953172e-07,0.047707576,2004
0.45579025,1.0,140.8,4,18.8415,271.831,0.1141279,0.043864347,2002
0.47732365,1.2,307.2,4,84.646225,396.781,1.0346133e-05,0.07206024,2004
0.6981116,1.15,190.3,4,6.7007194,305.786,2.5961452e-05,0.07498901,2003
0.51316375,1.0,175.6,4,40.76414,342.399,0.0,0.056333255,2003
0.65720475,1.2,205.5,4,4.4580846,447.99402,0.0026349328,0.10217639,2004
0.60151184,1.15,198.5,4,34.808796,338.111,0.0,0.042929154,2003
0.62093633,1.2,208.3,4,81.619705,211.97299,0.0,0.10505904,2002
0.8407245,1.15,189.3,4,71.40207,413.955,0.0029120508,0.112109765,2004
0.4775196,1.0,186.1,4,0.0,389.632,1.7846065e-07,0.04120717,2003
0.55034834,1.2,186.3,4,251.58876,198.306,0.0,0.060460586,2002
0.4141906,1.0,270.2,4,24.022326,429.51,0.1470163,0.0515807,2004
0.4946506,1.0,158.6,4,11.6973295,288.01,0.03011276,0.07140459,2002
0.5826681,1.15,116.8,4,20.788532,209.342,0.02666386,0.04754211,2002
0.543167,1.0,151.4,4,127.880226,192.286,0.0,0.054724656,2002
0.6050435,1.2,181.7,4,20.501226,405.176,0.004774474,0.070102565,2004
