OBJECTID	PDIV_ID	Af_used_2012	Af_used_irr_2012	Acres_2012	Af_used_mun_2012	Af_used_stk_2012	long_nad83	lat_nad83	county						
1	50793	0	0	0	0	0	-101.2655044	37.031871	SV						
2	32041	37	37	35	0	0	-101.0449903	39.07935818	LG						
3	21243	80.64821038	80.64821038	62	0	0	-97.5541838	38.00587845	HV						
4	39766	0	0	0	0	0	-98.12599834	37.35158518	HP						
5	30225	0	0	0	0	0	-101.9364756	38.84616764	WA						
6	37508	0	0	0	0	0	-100.5059984	37.96090894	GY						
7	30816	60.5000445	60.5000445	60	0	0	-99.54006149	38.47294431	RH						
8	8792	0	0	0	0	0	-99.54006149	38.47294431	RH						
9	25195	61.73987497	61.73987497	40	0	0	-101.5964885	37.93315456	HM						
10	48026	0	0	0	0	0	-101.6061891	37.68938549	ST						
11	36987	192	192	113	0	0	-100.6523928	37.3624143	SW						
12	21325	346	346	390	0	0	-100.8163561	37.68784608	HS						
13	5708	315.094936	315.094936	125	0	0	-100.807173	37.31915267	SW						
14	11887	106.3707032	106.3707032	233	0	0	-101.304717	37.04683074	SV						
15	19641	0	0	0	0	0	-100.7000044	38.07476311	FI						
16	34555	284	284	183	0	0	-101.3798722	37.41463272	GT						
17	24442	177	177	122	0	0	-100.6430715	37.36242936	SW						
18	50050	0	0	0	0	0	-100.8593603	37.10202412	SW						
19	10783	195	195	130	0	0	-101.3882582	37.04303446	SV						
20	44856	0	0	0	0	0	-100.914412	37.99220745	FI						
21	2189	0	0	0	0	0	-99.39619307	38.93641014	EL						
22	7411	0	0	0	0	0	-100.8787798	38.13418979	FI						
23	47079	58.14129771	58.14129771	246	0	0	-100.9195864	38.03245633	FI						
24	39340	0	0	0	0	0	-101.3383013	37.47745265	GT						
25	1345	172.2796616	172.2796616	172	0	0	-96.07709069	39.16935768	WB						
26	10988	282.8136173	282.8136173	240	0	0	-101.8796021	38.83149935	WA						
27	29870	180	180	124	0	0	-98.80262058	37.70473237	PR						
28	13354	0	0	0	0	0	-98.53907786	37.1620147	BA						
29	8581	0	0	0	0	0	-98.53832782	37.1618647	BA						
30	12030	370	370	251	0	0	-100.8516736	37.40865348	HS						
31	53941	326.2319281	326.2319281	250	0	0	-101.2984768	37.37712261	SV						
32	25527	8	8	3	0	0	-100.9483893	38.19861972	FI						
33	35972	68	68	60	0	0	-100.6743278	39.91530444	DC						
34	41539	0	0	0	0	0	-98.77188041	38.34765336	BT						
35	37404	40.08488542	0	0	0	0	-98.77032253	38.34584212	BT						
36	48683	131.2062875	0	0	0	131.2062875	-101.2535375	37.4348725	GT						
37	49244	337	337	200	0	0	-101.0582123	38.10046802	FI						
38	35167	265	265	183	0	0	-101.2486277	37.30787407	SV						
39	18428	0	0	0	0	0	-99.50987495	38.20766334	PN						
40	40520	65.21385541	0	0	65.21385541	0	-98.76552813	38.36519162	BT						
41	43382	0	0	0	0	0	-101.3618214	38.45927884	WH						
42	31263	259	259	199	0	0	-100.6090113	38.51062101	LE						
43	36655	0	0	0	0	0	-100.9109361	38.45299657	SC						
44	12464	0	0	0	0	0	-101.4408685	38.48092995	WH						
45	12246	269	269	320	0	0	-100.9095231	37.68117403	HS						
46	54746	0	0	0	0	0	-100.8556632	38.01747072	FI						
47	17750	0	0	0	0	0	-100.1834884	37.74034829	FO						
48	29454	0	0	0	0	0	-101.3496776	37.63018922	GT						
49	2378	0	0	0	0	0	-101.3779456	37.6743113	GT						
50	37616	71	71	85	0	0	-100.8368261	37.97761871	FI						
51	11914	150	150	300	0	0	-101.5828669	37.5343663	ST						
52	27422	150	150	130	0	0	-97.63096133	37.804023	SG						
53	22014	0	0	0	0	0	-100.2145399	37.70115443	FO						
54	20833	0	0	0	0	0	-99.30440758	38.46690134	RH						
55	33468	255	255	380	0	0	-99.13730436	37.90159811	ED						
56	35021	0	0	0	0	0	-100.8940123	38.25153996	FI						
57	45659	386	386	163	0	0	-101.083414	38.04762282	FI						
58	33041	6	6	262	0	0	-100.9403886	37.4797756	HS						
59	5388	19	19	10	0	0	-100.807696	38.03297215	FI						
60	17852	1.868952374	1.868952374	126	0	0	-99.06559169	38.22726643	PN						
61	34844	0	0	0	0	0	-100.8973514	37.95979375	FI						
62	10128	1.526710061	0	0	0	0	-97.18546973	37.8458205	SG						
63	43297	171.2632461	171.2632461	130	0	0	-98.33915829	37.87886522	RN						
64	50104	0	0	0	0	0	-100.7338614	38.0210885	FI						
65	22089	109.6142102	109.6142102	230	0	0	-98.32656113	38.55454012	EW						
66	36019	0	0	0	0	0	-99.77730868	38.79367748	TR						
67	22437	245	245	144	0	0	-101.2182174	37.93362017	KE						
68	18947	30	30	23	0	0	-100.768262	38.38537029	SC						
69	39689	0	0	0	0	0	-100.9479642	38.40586545	SC						
70	1269	231	231	244	0	0	-101.5836571	37.32303245	MT						
71	32554	62.93060325	62.93060325	75	0	0	-97.51239375	37.86152578	SG						
72	20901	161	161	124	0	0	-101.8392443	37.77774284	HM						
73	5502	0	0	0	0	0	-100.6552898	38.61114675	LE						
74	875	96.63772706	96.63772706	53	0	0	-101.2443232	38.51354289	WH						
75	43287	0	0	0	0	0	-97.9448398	37.97465387	RN						
76	25459	0	0	0	0	0	-97.64155798	38.26442792	MP						
77	22168	0	0	0	0	0	-97.05816361	39.3191951	CY						
78	26536	33.53495923	33.53495923	195	0	0	-100.2965743	39.2508449	SD						
79	42499	319	319	148	0	0	-100.9474305	39.39781409	TH						
80	32986	0.449911156	0	0	0	0	-101.1608011	37.19989644	SV						
81	34430	0	0	0	0	0	-100.9437443	37.64995412	HS						
82	31783	0	0	0	0	0	-101.7435383	37.60851319	ST						
83	48145	158.3420029	158.3420029	88	0	0	-97.77352153	39.6890807	RP						
84	23476	195.5102179	195.5102179	215	0	0	-97.60882936	39.5800914	CD						
85	3261	100	100	103	0	0	-100.3530973	39.54163365	SD						
86	44167	0	0	0	0	0	-99.97140501	38.24605956	HG						
87	35778	175.6666667	175.6666667	134	0	0	-98.59760141	37.82043354	PR						
88	50199	236.6173496	0	0	236.6173496	0	-100.9120685	38.47607929	SC						
89	39650	0	0	0	0	0	-101.4553747	37.69728582	GT						
